Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age-Binning,Antiguedad-Binning,Estado
1,3,0,0,58,3,3,3,4,3,2,3,8,10,4,7,0,0,0,0,0,0,1,3,3,0
1,3,1,1,38,1,1,1,1,1,1,2,1,1,2,5,0,0,0,0,0,0,0,3,1,0
1,4,0,0,26,2,2,1,3,1,1,1,8,2,10,4,0,0,0,0,0,0,0,2,2,1
1,2,1,0,26,1,1,1,1,1,1,2,2,0,4,6,0,0,0,0,0,0,0,1,1,1
1,3,1,0,94,1,2,1,1,1,1,5,5,3,6,5,0,0,0,0,0,0,0,1,1,1
1,3,0,1,16,2,2,1,1,2,1,2,6,4,10,6,0,0,0,0,0,0,0,2,2,1
1,3,0,1,34,1,2,1,1,2,1,4,7,3,7,6,0,0,0,0,0,0,0,2,3,0
1,2,1,0,32,1,1,1,1,1,1,2,4,0,4,8,0,0,0,0,0,0,0,1,2,1
1,2,1,0,19,1,1,1,1,1,1,1,3,0,2,9,0,0,0,0,0,0,1,2,2,1
1,1,1,1,68,1,1,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,3,1,1
0,1,0,0,59,1,1,1,1,1,1,1,2,0,3,8,0,0,0,0,0,0,0,2,3,1
1,3,0,0,82,1,2,3,5,3,1,1,3,4,8,2,0,0,0,0,0,0,0,2,1,0
1,3,1,1,53,1,1,1,1,1,1,3,6,1,5,6,0,0,0,0,0,0,0,3,1,0
1,1,0,0,38,1,1,1,1,1,1,1,1,0,3,8,0,0,0,0,0,0,0,1,3,1
1,4,0,0,23,4,1,1,2,2,1,1,7,6,12,3,0,0,1,1,0,0,1,3,3,0
1,2,1,1,51,1,1,1,1,1,1,3,3,0,3,8,0,0,0,0,0,0,0,1,3,1
1,2,0,0,20,1,1,1,3,1,1,2,4,1,6,7,0,0,0,0,0,0,0,3,3,1
1,4,0,1,91,4,3,3,1,1,4,2,11,4,9,5,0,0,0,1,0,0,0,3,2,1
0,2,1,0,86,1,1,1,1,1,1,2,2,1,3,6,0,0,0,0,0,0,0,1,3,0
1,2,0,0,41,1,1,1,2,1,1,1,4,2,5,8,0,0,0,0,0,0,0,1,3,1
1,3,0,1,63,3,1,1,1,1,1,3,2,3,9,8,0,1,0,0,0,0,0,3,3,1
1,4,0,1,0,2,1,1,1,1,1,3,6,2,9,4,0,0,0,0,0,0,0,3,1,1
1,2,0,1,69,1,1,1,1,1,2,7,7,1,5,8,0,0,0,0,0,0,0,3,3,1
1,1,0,0,89,1,1,1,1,1,1,2,2,1,3,7,0,0,0,0,0,0,0,2,3,0
1,3,1,1,4,1,1,1,1,1,1,4,5,1,4,7,0,0,0,0,0,0,0,2,2,1
1,2,1,0,26,1,1,1,1,1,1,2,2,1,4,3,0,0,0,0,0,0,0,1,2,1
1,4,0,0,96,3,3,5,1,2,1,1,6,9,10,2,0,0,1,0,0,0,0,2,1,1
1,1,0,0,34,1,1,1,1,1,1,2,3,0,3,5,0,0,0,0,0,0,0,1,1,0
1,2,0,0,56,1,1,1,1,1,2,1,2,5,3,3,0,0,0,0,0,0,0,2,2,1
1,2,0,1,31,1,1,1,1,1,1,2,2,1,4,5,0,1,0,0,0,0,0,2,3,1
1,3,0,2,8,1,1,1,1,1,1,6,4,1,6,6,0,0,0,0,0,0,1,3,3,0
1,4,0,0,4,2,1,3,3,2,1,1,3,5,9,7,0,0,0,0,0,0,0,3,3,1
1,3,1,1,55,1,1,1,1,1,1,1,2,0,3,7,0,0,0,0,0,0,0,3,2,0
1,4,0,1,37,3,1,1,1,1,1,5,5,6,12,2,0,0,0,0,0,0,0,2,1,1
0,2,1,0,76,1,1,1,1,1,1,3,3,1,2,7,0,0,0,0,0,0,0,2,2,1
1,2,0,1,99,1,1,1,1,1,1,2,1,1,3,5,0,0,0,0,0,0,0,2,1,0
1,3,0,0,53,2,1,2,4,2,1,2,7,10,5,6,1,0,0,0,0,0,1,3,3,0
1,4,0,1,3,2,2,3,2,5,2,2,8,6,5,4,0,0,0,0,0,0,0,1,2,1
1,1,1,0,88,1,1,1,1,1,1,2,2,0,3,8,0,0,0,0,0,0,0,1,3,1
1,1,0,1,4,1,1,1,1,1,1,1,0,0,3,5,0,0,0,0,0,0,0,3,3,1
1,1,1,0,19,1,1,1,1,1,1,3,2,0,3,5,0,0,0,0,0,0,0,2,2,1
1,4,0,0,72,1,5,2,5,1,4,1,2,4,9,1,0,0,0,0,0,0,0,2,1,0
0,1,0,0,24,1,1,1,1,1,1,3,3,1,3,9,0,0,0,0,0,0,1,1,3,1
1,2,1,0,92,1,1,1,1,1,1,1,2,0,2,10,0,0,0,0,0,0,0,2,2,1
1,4,1,1,39,3,2,2,1,1,1,9,5,2,12,8,0,0,0,0,0,0,0,3,3,1
1,4,0,1,29,1,1,1,1,2,1,1,4,2,10,2,0,0,0,0,0,0,0,3,1,0
1,4,0,0,2,3,1,4,1,5,1,1,6,9,13,3,0,0,0,0,0,0,0,2,3,1
1,2,1,0,54,1,1,1,1,1,1,2,2,0,3,7,0,0,0,0,0,0,0,2,3,0
1,4,0,0,54,2,4,3,4,2,5,1,4,9,7,1,1,0,0,1,0,0,1,2,1,0
1,4,1,1,57,2,1,1,1,1,3,7,4,2,10,3,0,0,0,0,0,0,0,1,2,1
1,4,0,0,55,4,2,3,4,4,4,1,3,10,13,1,0,0,1,0,0,0,1,3,3,1
1,4,0,0,30,1,1,3,3,4,1,1,5,5,10,3,0,0,0,0,0,0,1,2,2,0
